"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-12",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-13",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-14",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-15",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-16",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-17",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-18",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-19",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-25","    2",",,N","51.8",",,N",,,,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-26",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-27",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-28",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-29",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-30",,,,,"0.5",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-05-31",,,,,"0.0","T,,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-01",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-02",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-03",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-04",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-05",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-06",,,,,"0.0",",,N","0.0",",,N",,,,,,
